file,title,title_len,title_flag,description,desc_len,desc_flag
about.html,За Нас - Пътна Помощ Матю ЕООД,30,ok,"Научете повече за Пътна Помощ Матю ЕООД. Над 10 години опит в пътната помощ. Професионален екип, лицензирана дейност, 24/7 поддръжка.",133,ok
calculator-en.html,"Price Calculator - Roadside Assistance Matiu Ltd | 24/7 Towing Sofia, Godech, Kalotina",86,too_long,"Calculate roadside assistance prices online. Vehicle recovery, ditch extraction, battery boost. No hidden fees - price calculator for Matiu roadside assistance.",160,ok
calculator-ro.html,"Calculator de prețuri - Asistență Rutieră Matiu Ltd | Remorcări 24/7 Sofia, Godech, Kalotina",92,too_long,"Calculează prețurile pentru asistență rutieră online. Recuperare vehicule, extracție din șanț, boost baterie. Fără taxe ascunse - calculator prețuri pentru asistență rutieră Matiu.",180,too_long
calculator-tr.html,"Fiyat Hesaplayıcı - Yol Yardımı Matiu Ltd | 24/7 Çekici Sofia, Godech, Kalotina",79,too_long,"Yol yardımı fiyatlarını online hesaplayın. Araç kurtarma, hendek çıkarma, akü takviyesi. Gizli ücret yok - yol yardımı Matiu için fiyat hesaplayıcı.",148,ok
calculator.html,"Калкулатор на цени - Пътна Помощ Матю ЕООД | 24/7 Репатриране София, Годеч, Калотина",84,too_long,"Изчислете цената на пътна помощ онлайн. Репатриране, вадене от канавка, подаване на ток. Без скрити такси - калкулатор на цени за пътна помощ Матю.",147,ok
en.html,"Roadside Assistance - Matiu Ltd | 24/7 Towing Sofia, Godech, Kalotina",69,too_long,"Licensed 24/7 roadside assistance in Sofia, Godech, Kalotina, Petrohan, Kostinbrod. Vehicle recovery, ditch extraction, jump start. Cash, card, Revolut payment. Call: 0888 314 855",179,too_long
faq.html,Често Задавани Въпроси - Пътна Помощ Матю ЕООД,46,ok,"Отговори на често задавани въпроси за услугите на Пътна Помощ Матю ЕООД. Научете повече за нашите услуги, цени и условия.",121,ok
index.html,"Пътна Помощ - Матю ЕООД | 24/7 Репатриране София, Годеч, Калотина | 0888 314 855",80,too_long,"Лицензирана пътна помощ 24/7 в София, Годеч, Калотина, Петрохан, Костинброд. Репатриране, вадене от канавка, подаване на ток, вадене обърнато МПС, помощни колички, липсваща кука. Плащане в брой, карта, Revolut. Обадете се: 0888 314 855",235,too_long
privacy-policy.html,Политика за Поверителност - Пътна Помощ Матю ЕООД,49,ok,Политика за поверителност и защита на личните данни на Пътна Помощ Матю ЕООД. Научете как обработваме вашата информация.,120,ok
ro.html,"Asistență Rutieră - Matiu SRL | 24/7 Tractare Sofia, Godech, Kalotina",69,too_long,"Asistență rutieră licențiată 24/7 în Sofia, Godech, Kalotina, Petrohan, Kostinbrod. Recuperare vehicule, extracție din șanț, pornire cu cabluri. Plată numerar, card, Revolut. Apelați: 0888 314 855",196,too_long
tr.html,"Yol Yardımı - Matiu Ltd | 24/7 Çekici Sofia, Godech, Kalotina",61,too_long,"Lisanslı 24/7 yol yardımı Sofia, Godech, Kalotina, Petrohan, Kostinbrod. Araç kurtarma, hendek çıkarma, akü takviyesi. Nakit, kart, Revolut ödeme. Ara: 0888 314 855",164,too_long
areas/buchin-prohod.html,"Пътна Помощ Бучин проход - Матю ЕООД | Професионални услуги 24/7: вадене от сняг и лед, зимна помощ",99,too_long,"Пътна помощ Бучин проход - професионални услуги 24/7. Вадене от сняг и лед, извличане от дерета, помощ при зимни условия. Надеждна помощ за Бучин проход и планинските пътища - Матю ЕООД.",186,too_long
areas/burzia.html,"Пътна Помощ Бързия - Матю ЕООД | Експертни услуги 24/7: вадене от кал и сняг, помощ при ПТП",91,too_long,"Пътна помощ Бързия - експертни услуги 24/7. Вадене от кал, сняг и репатриране, помощ при ПТП. Надеждна помощ за Бързия и региона - Матю ЕООД.",141,ok
areas/dragoman.html,"Пътна Помощ Драгоман - Матю ЕООД | Обслужване 24/7: репатриране, смяна на гуми",78,too_long,"Пътна помощ Драгоман - обслужване 24/7. Помощ при международни пътувания, вадене от кал и сняг, смяна на гуми. Надеждна помощ за Драгоман и магистрала Европа - Матю ЕООД.",170,too_long
